,정규표현식,삭제된 문자열,엑셀 idx
0,다번다,다번다,4
1,아이윙스,아이윙스,10
2,아이윙스,아이윙스,12
3,아이윙스,아이윙스,13
4,후니케이스,후니케이스,14
5,후니케이스,후니케이스,15
6,PVC,PVC,16
7,뷰티컬,뷰티컬,20
8,아이윙스,아이윙스,26
9,아이윙스,아이윙스,27
10,하이셀,하이셀,29
11,에이브,에이브,44
12,다번다,다번다,58
13,PVC,PVC,62
14,리빙114,리빙114,66
15,후니케이스,후니케이스,68
16,후니케이스,후니케이스,69
17,슬림스,슬림스,77
18,모던스,모던스,78
19,모던스,모던스,79
20,SNW,SNW,82
21,저혈당,저혈당,92
22,후니케이스,후니케이스,106
23,다번다,다번다,115
24,ABM도매콜,ABM도매콜,116
25,ABM도매콜,ABM도매콜,117
26,ABM도매콜,ABM도매콜,118
27,ABM도매콜,ABM도매콜,119
28,ABM도매콜,ABM도매콜,120
29,ABM도매콜,ABM도매콜,121
30,ABM도매콜,ABM도매콜,122
31,ABM도매콜,ABM도매콜,123
32,ABM도매콜,ABM도매콜,124
33,ABM도매콜,ABM도매콜,125
34,ABM도매콜,ABM도매콜,126
35,ABM도매콜,ABM도매콜,127
36,ABM도매콜,ABM도매콜,128
37,ABM도매콜,ABM도매콜,129
38,ABM도매콜,ABM도매콜,130
39,ABM도매콜,ABM도매콜,131
40,ABM도매콜,ABM도매콜,132
41,ABM도매콜,ABM도매콜,133
42,후니케이스,후니케이스,138
43,후니케이스,후니케이스,139
44,애니포트,애니포트,144
45,후니케이스,후니케이스,167
46,후니케이스,후니케이스,168
47,다번다,다번다,173
48,후니케이스,후니케이스,180
49,다번다,다번다,183
50,후니케이스,후니케이스,184
51,후니케이스,후니케이스,185
52,후니케이스,후니케이스,186
53,아이윙스,아이윙스,197
54,후니케이스,후니케이스,202
55,후니케이스,후니케이스,206
56,후니케이스,후니케이스,207
57,후니케이스,후니케이스,208
58,후니케이스,후니케이스,209
59,후니케이스,후니케이스,210
60,후니케이스,후니케이스,212
61,후니케이스,후니케이스,213
62,후니케이스,후니케이스,214
63,아이윙스,아이윙스,217
64,아이윙스,아이윙스,246
65,다번다,다번다,254
66,헤어슈슈,헤어슈슈,276
67,헤어슈슈,헤어슈슈,277
68,헤어슈슈,헤어슈슈,278
69,헤어슈슈,헤어슈슈,280
70,헤어슈슈,헤어슈슈,281
71,헤어슈슈,헤어슈슈,282
72,헤어슈슈,헤어슈슈,283
73,헤어슈슈,헤어슈슈,284
74,헤어슈슈,헤어슈슈,285
75,헤어슈슈,헤어슈슈,286
76,헤어슈슈,헤어슈슈,287
77,헤어슈슈,헤어슈슈,288
78,헤어슈슈,헤어슈슈,289
79,헤어슈슈,헤어슈슈,290
80,헤어슈슈,헤어슈슈,291
81,헤어슈슈,헤어슈슈,292
82,헤어슈슈,헤어슈슈,293
83,헤어슈슈,헤어슈슈,294
84,헤어슈슈,헤어슈슈,295
85,헤어슈슈,헤어슈슈,296
86,헤어슈슈,헤어슈슈,297
87,후니케이스,후니케이스,305
88,후니케이스,후니케이스,306
89,후니케이스,후니케이스,345
90,후니케이스,후니케이스,346
91,후니케이스,후니케이스,347
92,후니케이스,후니케이스,348
93,베이비캠프,베이비캠프,378
94,다번다,다번다,381
95,아이윙스,아이윙스,384
96,가디언블루,가디언블루,404
97,그린피앤에스,그린피앤에스,406
98,그린피앤에스,그린피앤에스,407
99,그린피앤에스,그린피앤에스,408
100,그린피앤에스,그린피앤에스,409
101,그린피앤에스,그린피앤에스,410
102,그린피앤에스,그린피앤에스,411
103,그린피앤에스,그린피앤에스,412
104,그린피앤에스,그린피앤에스,413
105,그린피앤에스,그린피앤에스,414
106,그린피앤에스,그린피앤에스,415
107,그린피앤에스,그린피앤에스,416
108,그린피앤에스,그린피앤에스,417
109,그린피앤에스,그린피앤에스,418
110,그린피앤에스,그린피앤에스,419
111,그린피앤에스,그린피앤에스,420
112,그린피앤에스,그린피앤에스,421
113,그린피앤에스,그린피앤에스,422
114,그린피앤에스,그린피앤에스,423
115,그린피앤에스,그린피앤에스,424
116,그린피앤에스,그린피앤에스,425
117,그린피앤에스,그린피앤에스,426
118,그린피앤에스,그린피앤에스,427
119,그린피앤에스,그린피앤에스,428
120,그린피앤에스,그린피앤에스,429
121,그린피앤에스,그린피앤에스,430
122,그린피앤에스,그린피앤에스,431
123,그린피앤에스,그린피앤에스,432
124,후니케이스,후니케이스,438
125,후니케이스,후니케이스,456
126,후니케이스,후니케이스,457
127,후니케이스,후니케이스,458
128,SNW,SNW,459
129,템플러,템플러,460
130,클리카,클리카,461
131,클리카,클리카,462
132,클리카,클리카,463
133,클리카,클리카,464
134,클리카,클리카,465
135,클리카,클리카,466
136,클리카,클리카,467
137,클리카,클리카,468
138,클리카,클리카,469
139,클리카,클리카,471
140,클리카,클리카,475
141,클리카,클리카,479
142,클리카,클리카,480
143,에이브,에이브,489
144,템플러,템플러,499
