,도매매 상품번호,상품명,해시태그,대표이미지링크,도매매판매상태
0,[필수],상품명 기재하세요,입력방식:#해시태그명1#해시태그명2,대표이미지링크기재하세요,(변경불가)
1,23749213,완전정복 포켓몬 도감 스티커,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/05/28/165373327709B950FE558C98083778CF/165373327709B950FE558C98083778CF_img_760?hash=0728f2df68a9021a0a60365a6fc332ee,판매중
2,27920345,휴대용 거리측정 원터치 자동줄차 5M,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/09/05/1662382778CE6377AF68BF3C0CD9AB95/1662382778CE6377AF68BF3C0CD9AB95_img_760?hash=6b250fe961a23b0066c27e63136163be,판매중
3,27911273,정확도 주방 스테인리스 멀티 와인 오프너 병따개,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/09/05/1662356355C4DD8035B447003FBB0382/1662356355C4DD8035B447003FBB0382_img_760?hash=40c53e1bdbd0ffe99beb471b63011c25,판매중
4,20123612,캠핑 파우치 세면백 세면용품 치약 칫솔 야영 하이킹,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/01/26/16431745669D392F0123C3D0F67791FC/16431745669D392F0123C3D0F67791FC_img_760?hash=7ac9dc1250e084eccc63ac9e2901c8c8,판매중
5,26914582,핸드폰 워터파크 워터밤 방수팩 방수가방 힙쌕,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/07/22/16584747331C7408B1820E918F95FE58/16584747331C7408B1820E918F95FE58_img_760?hash=364b041868c3cea4a7e203663a703dae,판매중
6,27910476,원터치 절수 수압조절 정수필터 마사지샤워기,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/09/05/16623466157AA75494D2F153C9A96D1F/16623466157AA75494D2F153C9A96D1F_img_760?hash=c74c593da8f3004ad6230e1a24089102,판매중
7,27910460,강력수압 미세분사 2중안심 정수필터 절수샤워기,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/09/05/1662346339B2B266A3DE9D7CB7A0D7CD/1662346339B2B266A3DE9D7CB7A0D7CD_img_760?hash=108d73467e5d752d1cf7eddb466c9451,판매중
8,27694643,가을테마시리즈 40 DIY명화그리기 유화수채화그리기,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/26/16615036440F3188FDE38E35FF25C179/16615036440F3188FDE38E35FF25C179_img_760?hash=37f7cb8b61c1f65981c4f8ab7cfc60d2,판매중
9,27684062,오이비누 90g 3개입 10개 세수비누 미용비누 화장비누 목욕비누,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/26/16614952242E7075F745DC1900431612/16614952242E7075F745DC1900431612_img_760?hash=3d3ed5877f31954c7ba03f0ff4def8ac,판매중
10,27683863,사막의코끼리 40 DIY명화그리기 유화수채화그리기,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/26/1661494549470881C7519620837170FB/1661494549470881C7519620837170FB_img_760?hash=8239afdacfdfdd0472701997322cd88f,판매중
11,27683497,마세라티 럭셔리슈퍼카 40 DIY명화그리기 유화수채화그리기,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/26/16614929146CFC25AFDA307007F25118/16614929146CFC25AFDA307007F25118_img_760?hash=8424d19c57da8ddb5cd576a80d190f33,판매중
12,27326868,갤럭시 Z플립3 Z플립4 하트 스마트링 케이스 2종,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/08/16599397546249E4D5731796D14126AC/16599397546249E4D5731796D14126AC_img_760?hash=11f6a11e00ef8b8811336e629cdea9ea,판매중
13,27326869,갤럭시 Z플립3 Z플립4 하트 스마트링 케이스 2종,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/08/1659939757A37F865FF2CD2C57768D7B/1659939757A37F865FF2CD2C57768D7B_img_760?hash=6d1f179991b802e245658c21d864e24e,판매중
14,27792521,홀로그램 백 파우치 20cm,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/30/166184327553B2EBA41272B1897910EE/166184327553B2EBA41272B1897910EE_img_760?hash=c861ee730da00e39471c797140880b61,판매중
15,27793872,화장실 욕실 변기패드 커버 2p 1+1 변기오프너 증정,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/30/16618444949D8BC1B3792352F51F5B8F/16618444949D8BC1B3792352F51F5B8F_img_760?hash=708495b6815510be6c57bc347fe2c350,판매중
16,27648909,넓은 와이드 머리띠 반다나 리본터번 여성 헤어밴드,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/24/1661330207BD8847A4EEB64EE7F524C3/1661330207BD8847A4EEB64EE7F524C3_img_760?hash=8d87065cd3bf99daee654e1b553f255b,판매중
17,27671475,벨벳주머니 벨벳파우치 블랙 8cm 스트링 파우치 복조리 소품 포장 복주머니,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/25/166141512085FAABE3DF9514086B32AC/166141512085FAABE3DF9514086B32AC_img_760?hash=f224329c4df0eab5386ddb29da3e1e95,판매중
18,27593288,UV차단 완전자동 양산우산 방수 양우산 민트,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/20/1660994767EC067AF102865C9B35C099/1660994767EC067AF102865C9B35C099_img_760?hash=eef739c383fd45380557a543e9f5f623,판매중
19,27588767,꽃바구니 백일 돌 반지 케이스 여친선물 프로포즈,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/20/1660976950516BB99118DD66B40D13F7/1660976950516BB99118DD66B40D13F7_img_760?hash=36938208183465abe3cac6f7ce6c09b9,판매중
20,26467407,리엔 물들임 새치커버 샴푸 450ML 탈모샴푸 자연갈색,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/07/03/16568494726ECB9F4D38ECC259109A35/16568494726ECB9F4D38ECC259109A35_img_760?hash=31916285f6208f5fd015f67ae019f153,판매중
21,27787730,리필용 스프레이 28파이 5개 세트,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/30/16618232443978DFAE6186D54D3129F6/16618232443978DFAE6186D54D3129F6_img_760?hash=eff33b2a949ae1c83e7ec24326815ca7,판매중
22,26671314,남성 힙색 가방 운동 패션 헬스 여행 캠핑,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/07/12/16576023027FB2ADC9804CF570835CD6/16576023027FB2ADC9804CF570835CD6_img_760?hash=5535377d24d45851af7c17a677ad9727,판매중
23,26910112,메이크업 브러쉬 붓 세척 스펀지 클리너 판,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/07/22/1658466628FEEB914C462E09CB1006BB/1658466628FEEB914C462E09CB1006BB_img_760?hash=be726f5f315274410a6c572282204ae6,판매중
24,27690233,레이크사이드 풍경 40 DIY명화그리기 유화수채화그리기,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/26/16615007157BBE4CC1FF4B7255F319D1/16615007157BBE4CC1FF4B7255F319D1_img_760?hash=848210741c04536983dd24d4eae655da,판매중
25,27691100,등대와별장 40 DIY명화그리기 유화수채화그리기,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/26/16615015708EE4CE2091191E8166D236/16615015708EE4CE2091191E8166D236_img_760?hash=b3a100822ac1407b6c84ada49e0e6b17,판매중
26,27545127,실리콘 페트병 솔 브러쉬,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/18/1660789634822EB69D0BE19FAA71250A/1660789634822EB69D0BE19FAA71250A_img_760?hash=be54a0c7f0d4317423965fde81e55a9c,판매중
27,26518387,국산 일리함 어셈블 조립식 가죽 스마트폰 거치대 펜꽂이 패션 디자인 소품 실내 공간,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/07/06/1657080102545673BBD6BA1438334E55/1657080102545673BBD6BA1438334E55_img_760?hash=1548e96760f11eeed9dfb7f6c5690378,판매중
28,27314800,UY PD PPS C타입 초고속 충전기 25W,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/08/07/165984888249582CD85577E008A35ECF/165984888249582CD85577E008A35ECF_img_760?hash=7062a7bb986043946703b7f689729a9d,판매중
29,26348368,돈복 들어오는 풍수 빨강 오제전 엽전,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/07/02/1656750741DF9CD59E93DF9BC35D33C9/1656750741DF9CD59E93DF9BC35D33C9_img_760?hash=aa57a4fdc9423608dd57b8e0c2df163c,판매중
30,26327283,UV 자외선차단 3단 양우산,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/07/02/16567362308E780D13050518D410A9A0/16567362308E780D13050518D410A9A0_img_760?hash=b65f6d4397bf80548fc97849e1642f29,판매중
31,26984583,셀프웨딩 레이스 파티 그물 리본 장갑,#템플릿 1,https://cdn1.domeggook.com/upload/item/2022/07/23/1658562127C30BE46C2CF44D98AD846C/1658562127C30BE46C2CF44D98AD846C_img_760?hash=22ebfef641bc59eabc153af1b1021750,판매중
